	Homer Simpson	Donald Trump	Queen Elisabeth	Darth Vader	Beyonce	Albert Einstein
Distance of residence to our lab (0-live in the lab, 10-galaxy far far away)	9	2	10	0	10
Learn in class or alone (0-class frontal presentation, 10-alone with the literature)	8	8	0	0	10
Hummus or sushi (0-hummus, 10-sushi)	5	2	10	7	0
I prefer to work in silence or with music (0-outer space silence 10-full volume music)	10	0	0	10	0
Dog or cat (0-dog, 10-cat)	10	1	10	0	7
Epic historical novel or thriller (0-historical, 10-thriller)	10	1	0	2	4
Time of day I am the most focused (0-early morning 10-midnight)	10	2	0	8	3
My favorite number from 0-10	10	8	10	8	1
I work better alone or in a team (0-don't bother me, 10-the more the merrier)	0	8	0	0	2
Classical music or current pop (0-classical music, 10-current pop)	10	0	0	10	2
Deadlines are great / horrible (0-awesome, 10-hate them)	0	1	0	2	10
Basic research or applied (0-theoretical with no applications,10-application without theory)	10	5	10	5	1
